,ekologia
111,"https://www.ekologia.pl/wiadomosci/srodowisko/halas-drogowy-zmienia-zachowania-ptakow,27539.html"
112,"https://www.ekologia.pl/wiadomosci/srodowisko/to-diety-roslinne-moga-powstrzymac-kryzys-bioroznorodnosci,27535.html"
113,"https://www.ekologia.pl/wiadomosci/srodowisko/wzrost-poziomu-morza-gorszy-niz-sadzono-ostrzegaja-naukowcy,27531.html"
114,"https://www.ekologia.pl/wiadomosci/srodowisko/populacje-rekinow-i-plaszczek-spadly-o-70-pozostawiajac-luke-w-zyciu-oceanu,27513.html"
115,"https://www.ekologia.pl/wiadomosci/srodowisko/wierzymy-w-kryzys-klimatyczny-wynika-z-najwiekszego-globalnego-sondazu,27505.html"
116,"https://www.ekologia.pl/wiadomosci/srodowisko/globalna-utrata-lodu-przyspiesza-w-rekordowym-tempie,27502.html"
117,"https://www.ekologia.pl/wiadomosci/srodowisko/czy-to-koniec-selfie-ze-zwierzetami,27494.html"
118,"https://www.ekologia.pl/wiadomosci/srodowisko/stany-zjednoczone-ponownie-przystapia-do-paryskiego-porozumienia-klimatycznego,27484.html"
119,"https://www.ekologia.pl/wiadomosci/srodowisko/eksperci-ostrzegaja-ze-zanieczyszczenie-powietrza-spowoduje-masowa-migracje,27467.html"
120,"https://www.ekologia.pl/wiadomosci/srodowisko/kule-neptuna-oczyszczaja-wode-z-plastikowych-czastek,27462.html"
121,"https://www.ekologia.pl/wiadomosci/srodowisko/arktyka-coraz-bardziej-zanieczyszczona-wszystko-przez-pranie-ubran,27458.html"
122,"https://www.ekologia.pl/wiadomosci/srodowisko/naukowcy-ostrzegaja-przed-okropna-przyszloscia-masowego-wymierania-i-zakloceniami-klimatycznymi,27451.html"
123,"https://www.ekologia.pl/wiadomosci/srodowisko/uzbrojeni-mezczyzni-zabili-szesciu-straznikow-w-parku-narodowym-virunga,27446.html"
124,"https://www.ekologia.pl/wiadomosci/srodowisko/nowy-rok-nowe-wyzwanie-rekordowa-liczba-osob-bierze-udzial-w-akcji-veganaury,27431.html"
125,"https://www.ekologia.pl/wiadomosci/srodowisko/plaze-bali-zasypane-fala-plastikowych-smieci,27419.html"
126,"https://www.ekologia.pl/wiadomosci/srodowisko/szokujace-odkrycie-mikroplastyczne-czasteczki-moga-dostac-sie-do-lozyska,27411.html"
127,"https://www.ekologia.pl/wiadomosci/srodowisko/swiatowy-przemysl-spozywczy-przyczynia-sie-do-szybkiej-utraty-siedlisk,27405.html"
128,"https://www.ekologia.pl/wiadomosci/srodowisko/to-zanieczyszczone-powietrze-przyczynilo-sie-do-smierci-dziewczynki,27392.html"
129,"https://www.ekologia.pl/wiadomosci/srodowisko/pierwszy-przypadek-koronawirusa-u-dzikich-norek,27385.html"
130,"https://www.ekologia.pl/wiadomosci/srodowisko/ktore-tworzywa-sztuczne-sieja-najwieksze-spustoszenie-w-oceanach,27380.html"
131,"https://www.ekologia.pl/wiadomosci/srodowisko/po-calonocnych-rozmowach-przywodcy-ue-zgadzaja-sie-na-redukcje-emisji-co2,27374.html"
132,"https://www.ekologia.pl/wiadomosci/srodowisko/namibia-chce-sprzedac-170-sloni-by-chronic-swoja-przyrode,27351.html"
133,"https://www.ekologia.pl/wiadomosci/srodowisko/mieso-wyhodowane-w-laboratorium-trafi-do-sprzedazy,27342.html"
134,"https://www.ekologia.pl/wiadomosci/srodowisko/dokarmianie-ptakow-moze-byc-niebezpieczne,23724.html"
135,"https://www.ekologia.pl/wiadomosci/srodowisko/wylesianie-w-brazylijskiej-amazonii-osiaga-najwyzszy-od-12-lat-poziom,27338.html"
136,"https://www.ekologia.pl/wiadomosci/srodowisko/zmiany-klimatu-powstrzymuja-amerykanow-przed-posiadaniem-dzieci,27333.html"
137,"https://www.ekologia.pl/wiadomosci/srodowisko/gazy-cieplarniane-wciaz-na-rekordowym-poziomie,27311.html"
138,"https://www.ekologia.pl/wiadomosci/srodowisko/zanieczyszczenie-mikroplastikiem-dotarlo-nawet-na-mount-everest,27306.html"
139,"https://www.ekologia.pl/wiadomosci/srodowisko/dania-odstrzeli-15-milionow-norek-by-ograniczyc-rozprzestrzenianie-sie-koronawirusa,27246.html"
140,"https://www.ekologia.pl/wiadomosci/srodowisko/zanieczyszczenie-swiatlem-to-problem-podobny-do-zmian-klimatycznych,27238.html"
141,"https://www.ekologia.pl/wiadomosci/srodowisko/dzieci-karmione-butelka-polykaja-miliony-mikroplastikow-dziennie,27187.html"
142,"https://www.ekologia.pl/wiadomosci/srodowisko/kawalki-brokatu-moga-zanieczyszczac-rzeki,27183.html"
143,"https://www.ekologia.pl/wiadomosci/srodowisko/nowelizacja-ustawy-o-ochronie-zwierzat-rusza-dalej,27173.html"
144,"https://www.ekologia.pl/wiadomosci/srodowisko/mamy-coraz-wiecej-ekstremalnych-zjawisk-pogodowych,27164.html"
145,"https://www.ekologia.pl/wiadomosci/srodowisko/na-dnie-oceanu-moze-znajdowac-sie-ponad-14-milionow-ton-plastiku,27138.html"
146,"https://www.ekologia.pl/wiadomosci/srodowisko/pokrywa-lodowa-grenlandii-topi-sie-najszybciej-od-12-tysiecy-lat,27133.html"
147,"https://www.ekologia.pl/wiadomosci/srodowisko/niemieckie-odpady-przyjada-do-polski,27084.html"
148,"https://www.ekologia.pl/wiadomosci/srodowisko/sejm-przyjal-projekt-piatka-dla-zwierzat,27062.html"
149,"https://www.ekologia.pl/wiadomosci/srodowisko/rzadkie-delfiny-wracaja-do-hongkongu,27050.html"
150,"https://www.ekologia.pl/wiadomosci/srodowisko/cieplo-przyczynia-sie-do-rekordowego-topnienia-lodu-morskiego-na-grenlandi,27028.html"
151,"https://www.ekologia.pl/wiadomosci/srodowisko/superbakterie-stanowia-znacznie-wieksze-zagrozenie-niz-covid-19,27015.html"
152,"https://www.ekologia.pl/wiadomosci/srodowisko/zakaz-hodowli-zwierzat-futerkowych-i-ograniczenie-uboju-rytualnego-pis-staje-po-stronie-zwierzat,27008.html"
153,"https://www.ekologia.pl/wiadomosci/srodowisko/ssaki-wymieraja-i-to-my-za-to-odpowiadamy,27003.html"
154,"https://www.ekologia.pl/wiadomosci/srodowisko/koniec-cierpienia-zwierzat-holenderski-rzad-zamknie-wszystkie-fermy-norek-do-przyszlego-roku,26983.html"
155,"https://www.ekologia.pl/wiadomosci/srodowisko/bezprecedensowa-utrata-lodu-na-grenlandii,26924.html"
156,"https://www.ekologia.pl/wiadomosci/srodowisko/floryde-opanuja-genetycznie-modyfikowane-komary,26919.html"
157,"https://www.ekologia.pl/wiadomosci/srodowisko/mikroplastik-w-oceanie-atlantyckim-moze-wazyc-21-milionow-ton,26907.html"
158,"https://www.ekologia.pl/wiadomosci/srodowisko/dolina-smierci-zarejestrowala-najwyzsza-temperature-na-ziemi,26900.html"
159,"https://www.ekologia.pl/wiadomosci/srodowisko/lubisz-owoce-morza-uwazaj-bo-moga-byc-zanieczyszczone-plastikiem,26890.html"
160,"https://www.ekologia.pl/wiadomosci/srodowisko/polacy-jedza-coraz-mniej-miesa,26884.html"
161,"https://www.ekologia.pl/wiadomosci/srodowisko/operacja-pusty-talerz-ma-nauczyc-chinczykow-niemarnowania-zywnosci,26875.html"
162,"https://www.ekologia.pl/wiadomosci/srodowisko/brudne-powietrze-zabija-pszczoly-miodne,26862.html"
163,"https://www.ekologia.pl/wiadomosci/srodowisko/chiny-skoncza-ere-testowania-importowanych-kosmetykow-na-zwierzetach,26856.html"
164,"https://www.ekologia.pl/wiadomosci/srodowisko/spadek-liczby-zapylaczy-zagraza-produkcji-zywnosci-w-usa,26844.html"
165,"https://www.ekologia.pl/wiadomosci/srodowisko/cicha-epidemia-1-na-3-dzieci-jest-narazonych-na-szkodliwe-poziomy-olowiu,26839.html"
166,"https://www.ekologia.pl/wiadomosci/srodowisko/w-zeszlym-roku-swiat-wyrzucil-54-miliony-ton-sprzetu-elektronicznego,26830.html"
167,"https://www.ekologia.pl/wiadomosci/srodowisko/czeka-nas-weganska-przyszlosc-rynek-roslinnej-zywnosci-rosnie-w-zastraszajacym-tempie,26824.html"
168,"https://www.ekologia.pl/wiadomosci/srodowisko/ilosc-odpadow-z-tworzyw-sztucznych-trafiajacych-do-oceanow-potroi-sie-w-ciagu-20-lat,26819.html"
169,"https://www.ekologia.pl/wiadomosci/srodowisko/greta-thunberg-otrzymala-nagrode-humanitarna-w-wysokosci-1-15-miliona-dolarow-calosc-przekaze-organizacjom-ekologicznym,26810.html"
170,"https://www.ekologia.pl/wiadomosci/srodowisko/globalne-ocieplenie-prowadzi-niedzwiedzie-polarne-w-kierunku-zaglady,26805.html"
171,"https://www.ekologia.pl/wiadomosci/srodowisko/polacy-chca-by-testy-na-zwierzetach-staly-sie-juz-przeszloscia,26793.html"
172,"https://www.ekologia.pl/wiadomosci/srodowisko/metan-osiaga-najwyzszy-w-historii-poziom-wszystko-przez-intensywne-rolnictwo-i-paliwa-kopalne,26788.html"
173,"https://www.ekologia.pl/wiadomosci/srodowisko/swiatowa-populacja-dramatycznie-sie-kurczy,26784.html"
174,"https://www.ekologia.pl/wiadomosci/srodowisko/brudne-powietrze-zwieksza-ryzyko-zarazenia-covid-19,26779.html"
175,"https://www.ekologia.pl/wiadomosci/srodowisko/unia-europejska-nie-chroni-odpowiednio-zapylaczy,26773.html"
176,"https://www.ekologia.pl/wiadomosci/srodowisko/siem-reap-to-pierwsza-prowincja-kambodzy-ktora-zakazuje-sprzedazy-i-konsumpcji-psiego-miesa,26768.html"
177,"https://www.ekologia.pl/wiadomosci/srodowisko/ochrona-30-planety-moze-przyniesc-spore-korzysci-finansowe,26763.html"
178,"https://www.ekologia.pl/wiadomosci/srodowisko/arktyka-plonie-i-ociepla-sie-dwa-razy-szybciej-niz-reszta-ziemi,26759.html"
179,"https://www.ekologia.pl/wiadomosci/srodowisko/rosja-rozprawia-sie-z-polowaniem-na-swistaki-po-podejrzeniu-przypadkow-dzumy-dymieniczej,26754.html"
180,"https://www.ekologia.pl/wiadomosci/srodowisko/europejski-recykling-tworzyw-sztucznych-to-fikcja-zamiast-przetwarzac-wysylamy-smieci-na-inny-kontynent,26750.html"
181,"https://www.ekologia.pl/wiadomosci/srodowisko/w-botswanie-masowo-umieraja-slonie-i-nikt-nie-wie-dlaczego,26740.html"
182,"https://www.ekologia.pl/wiadomosci/srodowisko/w-chinach-zidentyfikowano-nowy-szczep-swinskiej-grypy-o-potencjale-pandemii,26731.html"
183,"https://www.ekologia.pl/wiadomosci/srodowisko/firma-bayer-zaplaci-ok-10-9-mld-usd-ofiarom-srodka-chwastobojczego-roundup,26715.html"
184,"https://www.ekologia.pl/wiadomosci/srodowisko/pojemniki-wielokrotnego-uzytku-bezpieczne-podczas-pandemii-covid-19,26703.html"
185,"https://www.ekologia.pl/wiadomosci/srodowisko/rekordowa-fala-upalow-na-syberii-konsekwencje-moga-byc-niebezpieczne,26693.html"
186,"https://www.ekologia.pl/wiadomosci/srodowisko/koniec-piekla-w-radysach-tysiace-zwierzat-potrzebuje-pomocy,26687.html"
187,"https://www.ekologia.pl/wiadomosci/srodowisko/tysiace-ton-mikroplastikow-spada-z-nieba,26678.html"
